Airport,Total Flights,Delayed Flights,Delayed Percentage,Total PAX,Affected PAX,Affected Percentage
TPE,670,122,18.21,123058,24171,19.64
CEB,30,3,10.0,2687,206,7.67
DAD,46,4,8.7,8475,652,7.69
KMJ,30,3,10.0,4344,509,11.72
KIX,60,20,33.33,15470,4963,32.08
MNL,13,0,0.0,807,0,0.0
MFM,60,2,3.33,7628,232,3.04
NRT,90,21,23.33,21535,4985,23.15
CTS,30,11,36.67,5252,1878,35.76
OKA,30,0,0.0,4993,0,0.0
SIN,30,7,23.33,8117,1943,23.94
LAX,30,12,40.0,7694,3095,40.23
BKK,44,11,25.0,9550,2712,28.4
SDJ,30,1,3.33,5319,180,3.38
KUL,30,5,16.67,4763,786,16.5
PEN,18,2,11.11,2676,309,11.55
FUK,30,3,10.0,4927,490,9.95
HAN,30,1,3.33,3950,89,2.25
CRK,13,0,0.0,465,0,0.0
SGN,17,3,17.65,1595,256,16.05
TKS,9,2,22.22,1292,370,28.64
