Period,OTP,TTL FLT,DLY FLT,DLY PAX,DLY Cnt,AF,AT,SG,RA,PH,GB,AS,FZ,GD,GF,FR,TZ,PW,EZ,CZ,RL,AM,CI,RZ,PS,MX,FA,TN,GZ,TD,AG,AZ,PZ
2023-07-01,72.73,22,6,1594,11,5,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-02,60.87,23,9,1770,17,7,6,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-03,73.91,23,6,1208,20,8,8,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2023-07-04,80.95,21,4,662,9,7,1,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
2023-07-05,82.61,23,4,532,13,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-06,72.73,22,6,1043,24,9,8,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
2023-07-07,58.33,24,10,1802,24,10,9,1.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
2023-07-08,68.18,22,7,1170,31,10,14,1.0,2.0,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,
2023-07-09,91.3,23,2,267,8,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-10,78.26,23,5,1116,21,7,9,,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,
2023-07-11,85.71,21,3,585,8,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-12,86.96,23,3,390,10,5,3,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2023-07-13,100.0,22,0,0,6,2,2,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
2023-07-14,90.91,22,2,247,14,6,6,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2023-07-15,91.3,23,2,359,12,5,6,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
2023-07-16,95.83,24,1,251,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-17,80.0,20,4,789,15,6,8,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
2023-07-18,69.57,23,7,1096,13,1,4,,,,,1.0,,,,,,,,,,7.0,,,,,,,,,,,
2023-07-19,58.33,24,10,1550,20,11,6,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
2023-07-20,63.64,22,8,1079,18,5,5,2.0,1.0,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,
2023-07-21,96.0,25,1,151,13,5,5,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
2023-07-22,91.3,23,2,524,10,3,6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-23,91.67,24,2,564,13,2,5,2.0,,,,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,,
2023-07-24,87.5,24,3,726,9,3,5,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
2023-07-25,68.18,22,7,1567,23,10,9,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,
2023-07-26,87.5,24,3,816,21,6,10,1.0,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,
2023-07-27,90.91,22,2,453,13,2,6,1.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,
2023-07-28,80.0,25,5,867,18,4,6,1.0,1.0,,,1.0,3.0,,,,,1.0,,,,,1.0,,,,,,,,,,
2023-07-29,78.26,23,5,1148,10,4,5,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
2023-07-30,73.91,23,6,945,16,6,5,2.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
2023-07-31,79.17,24,5,982,11,6,4,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
2023-11-01,72.73,22,6,1195,9,7,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-02,82.61,23,4,795,14,5,7,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
2023-11-03,90.48,21,2,320,4,1,2,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
2023-11-04,85.0,20,3,571,17,8,8,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2023-11-05,86.36,22,3,698,11,3,4,,1.0,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,
2023-11-06,90.91,22,2,285,14,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-07,77.27,22,5,998,13,7,4,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
2023-11-08,80.95,21,4,775,15,7,5,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,
2023-11-09,60.87,23,9,1679,15,7,3,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,
2023-11-10,94.74,19,1,182,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-11,77.27,22,5,1022,13,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-12,95.24,21,1,190,7,2,4,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
2023-11-13,86.96,23,3,622,11,4,4,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
2023-11-14,75.0,20,5,1076,15,9,4,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
2023-11-15,52.17,23,11,2091,19,7,7,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,2.0,,,
2023-11-16,90.91,22,2,455,15,6,7,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,
2023-11-17,72.73,22,6,1374,14,5,7,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
2023-11-18,68.18,22,7,1369,14,8,4,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
2023-11-19,91.3,23,2,348,11,3,5,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
2023-11-20,91.3,23,2,534,18,7,8,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,
2023-11-21,95.45,22,1,128,6,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-22,95.45,22,1,81,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-23,91.67,24,2,443,7,4,2,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2023-11-24,66.67,21,7,1234,13,9,2,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,
2023-11-25,69.57,23,7,1617,13,7,5,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
2023-11-26,95.24,21,1,81,6,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27,75.0,24,6,1153,17,7,5,,,,,,1.0,,,,,,,,2.0,,,,,1.0,,,,,,1.0,
2023-11-28,72.73,22,6,1286,12,6,5,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
2023-11-29,78.26,23,5,911,13,5,1,,,,,,,,,,,,,,2.0,,,,1.0,3.0,,,,,,,1.0
