Period,OTP,TTL FLT,DLY FLT,DLY PAX,DLY Cnt,AF,AS,AT,CZ,EZ,GB,PH,PW,RA,RL,WO,AG,MX,PS,TD,TN,TZ,AZ,CP,DG,FA,FZ,GD,GF,GZ,PB,PL,PZ,TC,AE,AM,FR,GT,WG,AX,ED,PD,WZ,CD,FF,AD,DF,FL,RZ,SG,CI
00H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06H,76.86,121.0,28.0,4480.0,98.0,18.0,1.0,44.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07H,77.02,235.0,54.0,8426.0,165.0,89.0,,66.0,,,2.0,,,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08H,80.13,1500.0,298.0,64730.0,1026.0,467.0,,452.0,,5.0,9.0,3.0,2.0,5.0,3.0,4.0,17.0,2.0,2.0,1.0,4.0,6.0,1.0,1.0,2.0,1.0,20.0,1.0,7.0,3.0,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,
09H,83.5,824.0,136.0,23853.0,469.0,253.0,,183.0,,,3.0,,,1.0,,1.0,8.0,3.0,,,,,1.0,,,,5.0,,,2.0,,,,1.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,
10H,77.51,1752.0,394.0,72948.0,1129.0,650.0,,401.0,1.0,5.0,5.0,5.0,,,3.0,,7.0,3.0,,1.0,2.0,3.0,1.0,,,,6.0,,9.0,,1.0,,1.0,,,11.0,1.0,,8.0,2.0,1.0,1.0,1.0,,,,,,,,
11H,82.91,796.0,136.0,21040.0,336.0,231.0,,90.0,,,2.0,,,1.0,,,,2.0,,1.0,,2.0,,,,,1.0,,1.0,,,,1.0,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,
12H,98.61,72.0,1.0,163.0,6.0,4.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13H,100.0,20.0,0.0,0.0,7.0,1.0,,3.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
14H,90.25,441.0,43.0,7619.0,192.0,43.0,,73.0,,,5.0,3.0,,31.0,1.0,,1.0,1.0,,,1.0,3.0,,,,,12.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,2.0,11.0,
15H,88.85,520.0,58.0,7620.0,238.0,35.0,,100.0,,2.0,2.0,1.0,1.0,40.0,,,2.0,2.0,1.0,,,2.0,,,,,4.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,2.0,41.0,
16H,80.95,21.0,4.0,581.0,17.0,1.0,,7.0,,,,,,4.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,
17H,88.19,398.0,47.0,8222.0,165.0,14.0,,67.0,,,2.0,,1.0,61.0,,,,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,15.0,
18H,65.71,70.0,24.0,4434.0,85.0,1.0,,35.0,,,1.0,,,31.0,,,,3.0,,,1.0,2.0,,,,,6.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,3.0,
19H,0.0,1.0,1.0,89.0,3.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
20H,100.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23H,72.12,208.0,58.0,14344.0,273.0,33.0,43.0,136.0,,1.0,2.0,6.0,,,12.0,,3.0,1.0,4.0,1.0,,,6.0,,,1.0,8.0,1.0,8.0,,1.0,,2.0,,,,2.0,,,,,,,,,,,,,,2.0
