Period,OTP,TTL FLT,DLY FLT,DLY PAX,DLY Cnt,AF,AT,CZ,PH,RL,GB,MX,PS,TD,TN,FA,FZ,GD,TZ,AM,GZ,RA,EZ,GF,AZ,AG,RZ,SG,PW,AS,CI,FR,PZ
00H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06H,68.18,66.0,21.0,3549.0,60.0,9.0,28.0,1.0,1.0,21.0,,,,,,,,,,,,,,,,,,,,,,,
07H,59.55,89.0,36.0,6275.0,95.0,55.0,34.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
08H,79.9,204.0,41.0,8197.0,122.0,60.0,54.0,,,,2.0,,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,
09H,80.13,151.0,30.0,6606.0,85.0,50.0,26.0,,,,,3.0,,,,,1.0,,,3.0,1.0,1.0,,,,,,,,,,,
10H,76.17,256.0,61.0,12257.0,150.0,77.0,54.0,,,,2.0,1.0,,1.0,,,,,1.0,11.0,,,1.0,2.0,,,,,,,,,
11H,86.79,159.0,21.0,3435.0,51.0,37.0,11.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,
12H,98.51,67.0,1.0,163.0,6.0,4.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
13H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14H,94.79,96.0,5.0,715.0,44.0,13.0,15.0,,,1.0,1.0,,,,,,2.0,,,,,5.0,,,,1.0,1.0,5.0,,,,,
15H,85.71,133.0,19.0,2759.0,77.0,8.0,36.0,,1.0,,1.0,,,,,,3.0,,,,,11.0,,1.0,,2.0,,13.0,1.0,,,,
16H,0.0,2.0,2.0,151.0,8.0,,2.0,,,,,,,,,,1.0,,,,,2.0,,1.0,,,,2.0,,,,,
17H,96.39,83.0,3.0,558.0,21.0,4.0,11.0,,,,,,,,,,,,,,,3.0,,,,,,2.0,1.0,,,,
18H,100.0,2.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23H,65.57,61.0,21.0,5506.0,87.0,17.0,37.0,,1.0,4.0,1.0,,3.0,1.0,,,3.0,,,,,,,2.0,,,,,,13.0,2.0,2.0,1.0
