Period,OTP,TTL FLT,DLY FLT,DLY PAX,DLY Cnt,AD,AF,AG,AT,AX,AZ,CD,CZ,FZ,GB,GF,GZ,MX,RA,RL,TC,TN,TZ,EZ,FL,PH,PL,PS,PW,RZ,DG,FF,FR,PB,PZ,SG,WZ,AE,AS,WG,ED,FA,GD,AM,CI,CP,DF,GT,PD,WO,TD
2023-01,79.6,505,103,19865,404,1.0,145,25.0,184,2.0,2.0,1.0,1.0,12.0,8.0,2.0,1.0,3.0,11,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02,76.33,507,120,22070,421,,181,5.0,164,,1.0,,,21.0,1.0,3.0,,1.0,25,2.0,1.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
2023-03,78.17,568,124,22534,437,,198,,169,,,,,9.0,3.0,3.0,,3.0,29,1.0,1.0,1.0,5.0,1.0,,1.0,,,,,1.0,1.0,1.0,2.0,1.0,6.0,1.0,,,,,,,,,,,,,,
2023-04,72.63,570,156,26787,368,,231,,108,,,,,,,2.0,,,24,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2023-05,78.99,690,145,25795,430,,207,1.0,161,,3.0,,,3.0,3.0,5.0,2.0,1.0,17,2.0,,1.0,3.0,3.0,,3.0,,2.0,,,,1.0,,1.0,,3.0,,1.0,1.0,6.0,,,,,,,,,,,
2023-06,78.6,673,144,27952,485,,217,6.0,176,,3.0,,,4.0,5.0,5.0,,1.0,23,1.0,,2.0,2.0,,,5.0,,,1.0,,,,,1.0,1.0,28.0,1.0,,,,1.0,1.0,1.0,,,,,,,,
2023-07,80.25,709,140,26253,453,,175,,177,,,,1.0,9.0,7.0,6.0,,,12,4.0,,,2.0,1.0,,3.0,,1.0,2.0,1.0,,,2.0,,,22.0,,,10.0,,,,1.0,15.0,2.0,,,,,,
2023-08,89.04,721,79,15511,312,,114,,132,,1.0,,,3.0,5.0,2.0,,1.0,14,2.0,,,,1.0,,2.0,,,,2.0,,,,,,9.0,,,18.0,6.0,,,,,,,,,,,
2023-09,89.87,681,69,12639,239,,103,,110,,,,,,,2.0,,,5,2.0,,,,3.0,,3.0,,1.0,,1.0,,,1.0,,2.0,1.0,,,5.0,,,,,,,,,,,,
2023-10,88.45,701,81,15225,306,,109,,146,,,,,,1.0,,1.0,2.0,6,9.0,1.0,1.0,1.0,3.0,,1.0,,,1.0,,1.0,,,,2.0,4.0,,,7.0,,,,,,,1.0,1.0,1.0,1.0,6.0,
2023-11,81.67,660,121,23918,354,,160,3.0,132,,1.0,,,2.0,1.0,,1.0,6.0,10,23.0,,1.0,1.0,,,,,3.0,,,,,,,1.0,,,,3.0,,,1.0,,,,,,,,,5.0
