Period,OTP,TTL FLT,DLY FLT,DLY PAX,DLY Cnt,AF,AG,AT,AX,FZ,GB,AD,CD,CZ,TC,AZ,GZ,MX,RA,RL,GF,TN,TZ,FL,PS,PW,EZ,PL,RZ,PH,SG,PB,DG,FF,FR,WZ,PZ,AS,WG,AE,ED,FA,GD,AM,CI,DF,WO,CP,PD,GT,TD
2023W01,87.13,101,13,2243,68,26,2.0,34,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W02,76.85,108,25,4728,95,29,17.0,43,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W03,77.5,120,27,5067,112,43,4.0,49,,6.0,4.0,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W04,75.0,124,31,6252,93,35,2.0,40,,2.0,,,,,,,,2.0,7.0,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W05,83.33,126,21,4415,85,37,1.0,36,,3.0,1.0,,,,,,,,5.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W06,75.59,127,31,5386,102,40,3.0,39,,7.0,,,,,,,,,10.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023W07,74.19,124,32,5230,98,48,,34,,3.0,1.0,,,,,1.0,,,4.0,1.0,2.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2023W08,76.38,127,30,6471,123,48,1.0,54,,6.0,,,,,,,,1.0,5.0,1.0,1.0,3.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2023W09,77.52,129,29,4415,110,42,,48,,3.0,1.0,,,,1.0,,,1.0,9.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
2023W10,90.7,129,12,2084,51,29,,11,,2.0,,,,,1.0,,,,6.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2023W11,79.84,129,26,4798,106,48,,43,,4.0,,,,,,,,2.0,4.0,,1.0,,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,
2023W12,75.38,130,32,6080,134,55,,56,,2.0,1.0,,,,,,,,8.0,,,1.0,3.0,,,,1.0,,,,3.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
2023W13,62.4,125,47,9404,102,56,,34,,1.0,1.0,,,,,,,,7.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
2023W14,81.82,132,24,3997,73,35,,34,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W15,68.22,129,41,6788,98,58,,30,,,,,,,,,,,9.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2023W16,64.89,131,46,7423,85,65,,13,,,,,,,,,,,5.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
