Period,OTP,TTL FLT,DLY FLT,DLY PAX,DLY Cnt,AF,AT,SG,AS,FR,FZ,GB,GD,GF,PH,PW,RA,TZ,CZ,EZ,AM,CI,RL,PS,RZ,FA,MX,GZ,TD,TN,AG,AZ,PZ
2023W26,72.73,22.0,6.0,1594.0,11.0,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023W27,70.89,158.0,46.0,8187.0,138.0,61.0,49.0,7.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,7.0,1.0,,,,,,,,,,,,,,,
2023W28,89.17,157.0,17.0,2964.0,79.0,34.0,33.0,2.0,3.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,
2023W29,79.5,161.0,33.0,5440.0,91.0,32.0,35.0,4.0,1.0,,,,,,,,2.0,,,,14.0,1.0,2.0,,,,,,,,,,
2023W30,83.54,164.0,27.0,6141.0,107.0,31.0,46.0,6.0,3.0,,7.0,2.0,,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,
2023W31,76.6,47.0,11.0,1927.0,27.0,12.0,9.0,2.0,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,
2023W32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W44,82.56,86.0,15.0,2881.0,44.0,21.0,18.0,,,,,,,,,,1.0,1.0,,,,,3.0,,,,,,,,,,
2023W45,80.79,151.0,29.0,5639.0,85.0,40.0,31.0,,1.0,,,,,,,,4.0,,,,,,7.0,,,1.0,1.0,,,,,,
2023W46,77.12,153.0,35.0,7177.0,95.0,41.0,37.0,,1.0,,1.0,1.0,,,,,3.0,,,,,,3.0,2.0,,,1.0,1.0,3.0,1.0,,,
2023W47,86.08,158.0,22.0,4385.0,70.0,33.0,27.0,,1.0,,,,,,,,1.0,,,,,,4.0,,,,,,1.0,,3.0,,
2023W48,82.14,112.0,20.0,3836.0,60.0,25.0,19.0,,,,1.0,,,,,,1.0,,,,,,6.0,1.0,,,4.0,,1.0,,,1.0,1.0
