Period,OTP,Ctl OTP,TTL FLT,DLY FLT,Ctl DLY FLT,TTL PAX,DLY PAX,Ctl DLY PAX,DLY Cnt,AF,AS,AT,EZ,PW,RL,WO,GB,MX,PS,TD,TN,TZ,AG,DG,FZ,GF,GZ,PB,PH,PL,RA,TC,AE,AM,AZ,GT,WG,AX,FR,PD,PZ,WZ,CD,DF,FF,FL,SG,RZ,CI,GD
00H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06H,76.86,100.0,121.0,28.0,0.0,16790.0,4480.0,0.0,48.0,6.0,1.0,18.0,1.0,1.0,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07H,77.02,100.0,235.0,54.0,0.0,27422.0,8426.0,0.0,87.0,52.0,,27.0,,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08H,80.13,99.8,1500.0,298.0,3.0,303729.0,64730.0,640.0,497.0,249.0,,180.0,4.0,2.0,2.0,3.0,5.0,1.0,2.0,1.0,3.0,5.0,10.0,2.0,9.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,
09H,83.5,99.88,824.0,136.0,1.0,136026.0,23853.0,159.0,211.0,122.0,,67.0,,,,1.0,1.0,1.0,,,,,6.0,,2.0,,1.0,,,,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,
10H,77.51,100.0,1752.0,394.0,0.0,307070.0,72948.0,0.0,605.0,352.0,,195.0,4.0,,2.0,,4.0,3.0,,1.0,2.0,3.0,4.0,,1.0,7.0,,1.0,2.0,,,,,10.0,,,8.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,
11H,82.91,100.0,796.0,136.0,0.0,124396.0,21040.0,0.0,183.0,134.0,,39.0,,,,,,2.0,,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,
12H,98.61,100.0,72.0,1.0,0.0,11318.0,163.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
13H,100.0,100.0,20.0,0.0,0.0,1649.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14H,90.25,100.0,441.0,43.0,0.0,67483.0,7619.0,0.0,86.0,15.0,,29.0,,,1.0,,3.0,1.0,,,1.0,3.0,1.0,,7.0,1.0,,,,,15.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,5.0,,,
15H,88.85,100.0,520.0,58.0,0.0,58535.0,7620.0,0.0,127.0,19.0,,44.0,2.0,1.0,,,2.0,1.0,,,,,,,3.0,,,,1.0,,28.0,,,,,,,,,,,,,,,,24.0,2.0,,
16H,80.95,100.0,21.0,4.0,0.0,3012.0,581.0,0.0,13.0,,,4.0,,,,,,,,,,,,,1.0,1.0,,,,,4.0,,,,,,,,,,,,,,,,3.0,,,
17H,88.19,100.0,398.0,47.0,0.0,52085.0,8222.0,0.0,88.0,4.0,,30.0,,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,37.0,,,,,,1.0,,,,,,,,,,12.0,,,
18H,65.71,100.0,70.0,24.0,0.0,9809.0,4434.0,0.0,58.0,,,19.0,,,,,1.0,3.0,,,1.0,1.0,,,5.0,,,,,,23.0,,,,,,,,,,,1.0,,,,,3.0,1.0,,
19H,0.0,100.0,1.0,1.0,0.0,89.0,89.0,0.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,
20H,100.0,100.0,6.0,0.0,0.0,187.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23H,72.12,100.0,208.0,58.0,0.0,49276.0,14344.0,0.0,126.0,27.0,14.0,51.0,,,11.0,,1.0,,2.0,,,,1.0,,3.0,6.0,,,4.0,,,,,,3.0,,,,1.0,,,,,,,,,,1.0,1.0
