Period,OTP,Ctl OTP,TTL FLT,DLY FLT,DLY PAX,DLY Cnt,AF,AG,AT,AX,AZ,CD,FZ,GB,GF,MX,RA,RL,TC,TN,TZ,FL,PH,PL,PS,PW,RZ,DG,EZ,FR,PB,PZ,SG,WZ,AE,FF,GZ,WG,GD,AM,AS,CI,DF,GT,PD,WO,TD
2023-01,79.6,99.8,505,103,19865,206,78,17.0,82,2.0,1.0,1.0,3.0,3.0,2.0,3.0,10,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02,76.33,99.8,507,120,22070,213,90,,72,,,,16.0,,2.0,1.0,17,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
2023-03,78.17,99.82,568,124,22534,224,96,,79,,,,3.0,3.0,1.0,3.0,18,1.0,1.0,1.0,5.0,,,,,,,1.0,1.0,1.0,2.0,1.0,6.0,1.0,,,,,,,,,,,,,
2023-04,72.63,100.0,570,156,26787,220,141,,59,,,,,,1.0,,16,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
2023-05,78.99,100.0,690,145,25795,224,121,1.0,70,,1.0,,,1.0,4.0,,9,1.0,,1.0,1.0,,2.0,,1.0,,,,2.0,,,,,,1.0,1.0,2.0,5.0,,,,,,,,,
2023-06,78.6,100.0,673,144,27952,248,114,3.0,74,,2.0,,3.0,4.0,5.0,,16,,,1.0,,,2.0,,,1.0,,,,,1.0,,20.0,1.0,,,,,1.0,,,,,,,,
2023-07,80.25,100.0,709,140,26253,240,94,,75,,,,6.0,6.0,5.0,,9,4.0,,,2.0,,2.0,,1.0,1.0,,,1.0,1.0,,,14.0,,,,,,,14.0,4.0,1.0,,,,,
2023-08,89.04,100.0,721,79,15511,134,52,,49,,,,1.0,1.0,1.0,1.0,8,2.0,,,,,1.0,,,,1.0,,1.0,,,,5.0,,,,,6.0,,,5.0,,,,,,
2023-09,89.87,100.0,681,69,12639,114,56,,44,,,,,,,,1,2.0,,,,,1.0,,,,1.0,,3.0,,,2.0,1.0,,,,,,,,3.0,,,,,,
2023-10,88.45,99.86,701,81,15225,134,52,,51,,,,,1.0,,1.0,4,5.0,1.0,1.0,1.0,,,,,1.0,,1.0,3.0,,,,1.0,,,,1.0,,,,2.0,,1.0,1.0,1.0,5.0,
2023-11,81.67,100.0,660,121,23918,176,86,1.0,49,,1.0,,,1.0,,4.0,5,19.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,4.0
