Period,OTP,Ctl OTP,TTL FLT,DLY FLT,Ctl DLY FLT,TTL PAX,DLY PAX,Ctl DLY PAX,DLY Cnt,AF,AT,AX,AG,GB,CD,TC,AZ,FZ,MX,RA,GF,TZ,TN,RL,FL,PW,PS,RZ,PL,PH,SG,PB,DG,EZ,FR,WZ,PZ,GZ,FF,WG,AE,TD,GD,AS,AM,CI,WO,DF,PD,GT,FT
2023-01-01,80.0,100.0,15,3,0,1744,320,0,7.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02,66.67,93.33,15,5,1,2026,852,172,11.0,4.0,5.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,78.57,100.0,14,3,0,2043,698,0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-04,93.33,100.0,15,1,0,1936,176,0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,92.86,100.0,14,1,0,1817,91,0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-06,92.86,100.0,14,1,0,1971,180,0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-07,100.0,100.0,15,0,0,1962,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-08,85.71,92.86,14,2,1,2180,456,179,4.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-09,93.33,100.0,15,1,0,2163,146,0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-10,86.67,100.0,15,2,0,1986,278,0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-11,100.0,100.0,16,0,0,1973,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-12,93.33,100.0,15,1,0,2137,130,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-13,62.5,100.0,16,6,0,2592,1148,0,15.0,4.0,6.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-14,23.53,100.0,17,13,0,2924,2570,0,27.0,9.0,11.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-15,87.5,93.75,16,2,1,2720,342,162,5.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-16,87.5,93.75,16,2,1,2465,294,137,5.0,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-17,88.24,100.0,17,2,0,2612,426,0,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-18,55.56,100.0,18,8,0,3136,1621,0,17.0,8.0,8.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-19,88.24,100.0,17,2,0,3082,328,0,3.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-20,83.33,100.0,18,3,0,3682,604,0,7.0,2.0,3.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-21,55.56,100.0,18,8,0,3512,1452,0,15.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-22,64.71,100.0,17,6,0,3474,1175,0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-23,83.33,94.44,18,3,1,3483,658,171,7.0,2.0,3.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
