Period,OTP,Ctl OTP,TTL FLT,DLY FLT,Ctl DLY FLT,TTL PAX,DLY PAX,Ctl DLY PAX,DLY Cnt,AF,AS,AT,EZ,PW,RL,WO,GB,MX,PB,PS,PZ,TD,TN,TZ,AG,DG,FZ,GF,GZ,PH,PL,RA,TC,AE,AM,AX,AZ,FT,GT,WG,FR,PD,WZ,CD,DF,FF,FL,RZ,SG,CI,GD
00H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06H,75.58,99.42,172.0,42.0,1.0,23581.0,6342.0,106.0,76.0,10.0,1.0,29.0,1.0,1.0,33.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07H,71.17,98.2,333.0,96.0,6.0,42973.0,15000.0,1162.0,159.0,92.0,,55.0,,,2.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
08H,80.09,98.58,1552.0,309.0,22.0,315172.0,67283.0,5161.0,515.0,258.0,,186.0,4.0,2.0,2.0,3.0,5.0,1.0,2.0,2.0,,3.0,3.0,6.0,10.0,2.0,9.0,4.0,3.0,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,
09H,83.28,99.47,951.0,159.0,5.0,166517.0,29215.0,1132.0,247.0,139.0,,77.0,1.0,,,1.0,1.0,1.0,1.0,,,3.0,,,6.0,,2.0,,1.0,1.0,,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
10H,77.95,99.18,1832.0,404.0,15.0,322702.0,75270.0,3022.0,621.0,361.0,,199.0,4.0,,2.0,,4.0,4.0,1.0,,1.0,3.0,2.0,3.0,4.0,,1.0,7.0,,2.0,,,,,10.0,2.0,,,,8.0,1.0,1.0,1.0,,,,,,,,
11H,83.6,99.65,866.0,142.0,3.0,135359.0,21888.0,478.0,191.0,138.0,,42.0,,,,,,2.0,,,1.0,1.0,,2.0,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,
12H,98.06,100.0,155.0,3.0,0.0,24315.0,454.0,0.0,5.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
13H,100.0,100.0,20.0,0.0,0.0,1649.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14H,89.44,99.04,521.0,55.0,5.0,79942.0,9504.0,1076.0,112.0,19.0,,38.0,,,1.0,,3.0,1.0,,,1.0,,1.0,3.0,1.0,,8.0,1.0,,,,25.0,,,,,,,,,,,,,1.0,1.0,1.0,2.0,5.0,,
15H,88.46,99.33,598.0,69.0,4.0,70406.0,9494.0,642.0,146.0,24.0,,51.0,2.0,1.0,1.0,,2.0,1.0,,,,,,,,,3.0,,,1.0,,32.0,,,,,,,,,,,,,,,,3.0,25.0,,
16H,80.95,95.24,21.0,4.0,1.0,3012.0,581.0,38.0,13.0,,,4.0,,,,,,,,,,,,,,,1.0,1.0,,,,4.0,,,,,,,,,,,,,,,,,3.0,,
17H,88.63,99.54,431.0,49.0,2.0,56534.0,8513.0,422.0,90.0,4.0,,30.0,,,1.0,,1.0,,,,,,1.0,1.0,,1.0,,1.0,,,,37.0,,,,,,,,1.0,,,,,,,,,12.0,,
18H,65.71,98.57,70.0,24.0,1.0,9809.0,4434.0,63.0,58.0,,,19.0,,,,,1.0,3.0,,,,,1.0,1.0,,,5.0,,,,,23.0,,,,,,,,,,,1.0,,,,,1.0,3.0,,
19H,0.0,100.0,1.0,1.0,0.0,89.0,89.0,0.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,
20H,100.0,100.0,6.0,0.0,0.0,187.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23H,74.09,94.74,247.0,64.0,13.0,57675.0,15827.0,3428.0,135.0,32.0,14.0,54.0,,,11.0,,1.0,1.0,,2.0,,,,,1.0,,3.0,6.0,,4.0,,,,,,,3.0,,,,1.0,,,,,,,,,1.0,1.0
