Period,OTP,Ctl OTP,TTL FLT,DLY FLT,Ctl DLY FLT,TTL PAX,DLY PAX,Ctl DLY PAX,DLY Cnt,AF,AG,AT,AX,GB,CD,TC,AZ,FZ,MX,RA,GF,TN,TZ,FL,RL,PS,PW,PL,RZ,PH,SG,PB,DG,EZ,FR,WZ,PZ,GZ,FF,WG,AE,TD,GD,AS,AM,CI,DF,WO,PD,GT,FT
2023W01,86.27,99.02,102,14,1,13499,2317,172,28,10,2.0,12,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W02,76.85,99.07,108,25,1,15955,4728,179,53,17,12.0,22,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W03,77.5,98.33,120,27,2,21209,5067,299,55,24,2.0,23,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W04,75.0,98.39,124,31,2,23305,6252,411,56,24,1.0,18,,,,,,1.0,2.0,6.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W05,83.33,100.0,126,21,0,20690,4415,0,37,13,,14,,,,,,3.0,,5.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W06,75.59,98.43,127,31,2,20035,5386,286,54,19,,19,,,,,,6.0,,7.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2023W07,74.19,99.19,124,32,1,18661,5230,212,45,26,,12,,,,,,1.0,,3.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W08,76.38,97.64,127,30,3,22371,6471,704,67,24,,26,,,,,,5.0,1.0,4.0,1.0,2.0,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2023W09,77.52,98.45,129,29,2,19458,4415,243,62,24,,24,,1.0,,1.0,,2.0,1.0,4.0,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
2023W10,90.7,100.0,129,12,0,19661,2084,0,20,8,,6,,,,1.0,,1.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2023W11,79.84,98.45,129,26,2,21717,4798,559,38,21,,11,,,,,,,2.0,1.0,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
2023W12,74.81,99.24,131,33,1,21012,6110,219,72,23,,28,,1.0,,1.0,,2.0,,6.0,,1.0,3.0,,,,,,,,3.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
2023W13,62.4,97.6,125,47,3,22281,9404,841,70,39,,21,,1.0,,,,,,6.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
2023W14,81.82,100.0,132,24,0,20048,3997,0,45,24,,20,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W15,68.22,100.0,129,41,0,20103,6788,0,59,35,,16,,,,,,,,7.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2023W16,64.89,99.24,131,46,1,20550,7423,240,55,42,,8,,,,,,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W17,76.81,100.0,138,32,0,22454,5979,0,43,29,,11,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W18,83.77,98.7,154,25,2,19850,3577,293,37,21,,9,,1.0,,,,,,2.0,,,1.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,
2023W19,74.68,98.1,158,40,3,24419,8006,714,65,35,,21,,,,,,,,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
2023W20,77.56,98.72,156,35,2,24076,6126,371,58,29,1.0,20,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,5.0,,,,,,,,,,,
2023W21,77.42,100.0,155,35,0,24249,6420,0,48,28,,15,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
2023W22,78.85,98.08,156,33,3,24104,5413,646,48,26,,13,,,,,1.0,,,1.0,3.0,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
2023W23,74.21,99.37,159,41,1,27024,7433,162,64,32,,15,,,,,1.0,,,7.0,,1.0,,,,,,,,,7.0,1.0,,,,,,,,,,,,,,,,,,,
2023W24,78.98,98.09,157,33,3,29916,6953,769,58,26,2.0,20,,1.0,,,,1.0,,2.0,1.0,,,,,,,,,1.0,3.0,,,,,,,,,,,1.0,,,,,,,,,
2023W25,77.42,96.13,155,35,6,30252,7090,1284,71,29,1.0,24,,2.0,,,,2.0,,3.0,2.0,,,,,,1.0,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,
2023W26,83.33,98.33,180,30,3,32570,6749,772,48,21,,14,,1.0,,,,,,4.0,1.0,,,,,,,,,,6.0,,,,,,,,,,,,1.0,,,,,,,,
2023W27,71.07,96.86,159,46,5,27952,8187,964,85,36,,25,,4.0,,,,1.0,,6.0,1.0,,1.0,,,,,,,2.0,7.0,,,,1.0,,,,,,,,,1.0,,,,,,,
2023W28,89.17,98.73,157,17,2,25257,2964,430,29,15,,10,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
2023W29,79.5,100.0,161,33,0,26303,5440,0,49,18,,14,,,,,,,,1.0,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,13.0,,,,,,
2023W30,83.54,96.95,164,27,5,30299,6141,1253,54,15,,19,,1.0,,,,5.0,,1.0,1.0,,1.0,,2.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,3.0,1.0,1.0,,,,,
2023W31,82.39,98.74,159,28,2,27823,5402,275,40,16,,12,,,,,,1.0,1.0,2.0,2.0,,,,1.0,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,
2023W32,91.19,99.37,159,14,1,28509,2722,168,25,8,,6,,1.0,,,,,,3.0,,,,,1.0,,,,1.0,,2.0,,,,,,,,,1.0,,,,2.0,,,,,,,
2023W33,79.52,99.4,166,34,1,31050,6545,295,63,24,,25,,,,,,,,4.0,1.0,,,,,,,,,,2.0,,,1.0,,,,,,5.0,,,,1.0,,,,,,,
2023W34,97.01,100.0,167,5,0,29416,786,0,8,3,,4,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W35,90.24,99.39,164,16,1,24346,3106,260,27,9,,14,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,
2023W36,84.66,99.39,163,25,1,27069,4195,215,44,22,,17,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,
2023W37,89.31,99.37,159,17,1,26226,3472,254,27,10,,14,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,
2023W38,90.57,99.37,159,15,1,26774,2837,87,24,14,,6,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,
2023W39,94.9,100.0,157,8,0,23850,1537,0,12,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W40,79.38,100.0,160,33,0,28401,6508,0,52,22,,17,,,,,,,,2.0,,1.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,1.0,5.0,,,
2023W41,93.08,99.37,159,11,1,26271,1998,291,19,3,,9,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,,
2023W42,86.08,98.73,158,22,2,27080,4077,476,39,18,,16,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
2023W43,93.04,98.73,158,11,2,27511,1811,351,18,7,,8,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,
2023W44,87.42,100.0,159,20,0,24175,3965,0,32,16,,8,,,,1.0,,,1.0,,,,2.0,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
2023W45,80.79,100.0,151,29,0,27261,5639,0,42,18,,14,,,,,,,1.0,3.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023W46,77.12,98.04,153,35,3,28671,7177,639,52,25,,14,,1.0,,,,,,2.0,,1.0,,,3.0,1.0,,,,,,,,,,,,1.0,,,,3.0,,1.0,,,,,,,
2023W47,86.08,100.0,158,22,0,30230,4385,0,32,18,1.0,9,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
2023W48,83.02,99.37,159,27,1,29489,5043,249,39,16,,10,,,,,1.0,,3.0,1.0,,,,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023W49,88.17,100.0,169,20,0,30544,3352,0,36,18,,15,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
2023W50,85.8,99.41,169,24,1,30511,4564,299,44,16,,19,,,,,,,1.0,2.0,,,,,3.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0
2023W51,71.51,98.84,172,49,2,30983,8906,482,81,35,,21,,,,,,1.0,,10.0,,,,,8.0,,,,3.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,
2023W52,86.63,98.84,172,23,2,30444,4268,366,40,18,,15,,,,,,,,1.0,,,,,2.0,,,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,
