Arr,OTP,Ctl OTP,TTL FLT,DLY FLT,Ctl DLY FLT,TTL PAX,DLY PAX,Ctl DLY PAX,DLY Cnt,AE,AF,AG,AM,AS,AT,AX,AZ,CD,CI,DF,DG,EZ,FF,FL,FR,FT,FZ,GB,GD,GF,GT,GZ,MX,PB,PD,PH,PL,PS,PW,PZ,RA,RL,RZ,SG,TC,TD,TN,TZ,WG,WO,WZ
BKK,87.97,99.28,690,83,5,134405,18426,1076,152,1.0,53.0,,3.0,,52,,,,,,,,1.0,1.0,,,7.0,3.0,,1.0,,,3.0,,,,,,,1.0,13.0,1.0,,4.0,,2.0,1.0,3.0,2.0,,
CEB,84.48,98.28,348,54,6,36798,6458,972,95,,37.0,,,1.0,28,,,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,2.0,,,2.0,,3.0,16.0,,1.0,,,,,,1.0,
CRK,83.53,100.0,85,14,0,4674,843,0,23,,12.0,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,
CTS,78.36,98.63,365,79,5,64454,14208,810,130,,68.0,2.0,3.0,,43,,1.0,,,,,1.0,,,,,1.0,3.0,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,2.0,,,2.0,,
DAD,82.31,100.0,605,107,0,88732,17119,0,165,,58.0,1.0,3.0,,67,,,,,,,,,,,,,,,,,,1.0,,,,,,,,13.0,18.0,,2.0,,,,1.0,1.0,,
FUK,81.79,100.0,368,67,0,58775,11043,0,103,,58.0,1.0,2.0,,30,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,6.0,2.0,1.0,,,,,1.0,,,
HAN,88.68,99.54,433,49,2,43944,5385,169,80,,38.0,2.0,,,27,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,5.0,,1.0,2.0,,1.0,,,,,
KIX,78.27,98.49,727,158,11,171993,37700,2753,262,,157.0,2.0,1.0,,74,,,,,,,1.0,,,,,1.0,2.0,,5.0,,2.0,1.0,1.0,,,,1.0,,,2.0,,,2.0,1.0,2.0,3.0,,1.0,2.0,1.0
KMJ,67.96,99.03,103,33,1,16374,5232,179,51,,34.0,,,,16,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
KUL,78.63,99.45,365,78,2,52036,11758,332,123,,70.0,2.0,1.0,,40,1.0,,,,,,1.0,,,1.0,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,2.0,,
LAX,73.75,94.58,240,63,13,56198,15541,3428,134,,32.0,1.0,,14.0,54,,3.0,,1.0,,,,,,1.0,,3.0,1.0,1.0,6.0,,,,,,4.0,,2.0,,,,11.0,,,,,,,,,
MFM,82.97,99.18,734,125,6,113166,21321,997,218,,51.0,,,,67,,,,,,1.0,,,,,,7.0,1.0,,2.0,,,3.0,,,,1.0,1.0,1.0,,58.0,1.0,1.0,15.0,,1.0,2.0,2.0,1.0,1.0,1.0
MNL,90.4,97.47,198,19,5,16033,2407,901,38,,17.0,,,,15,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,1.0,1.0,,,,,,,,,,
NGO,87.1,100.0,31,4,0,5155,703,0,8,,2.0,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
NRT,79.35,98.61,794,164,11,193653,41444,2706,273,,142.0,3.0,,,88,,,1.0,,,1.0,2.0,,,,,3.0,2.0,,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,9.0,1.0,1.0,,,2.0,3.0,4.0,2.0,,
OKA,88.67,100.0,362,41,0,56438,6562,0,55,,41.0,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEN,84.23,99.66,298,47,1,34961,5766,87,69,,42.0,2.0,1.0,,18,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,
SDJ,77.82,100.0,275,61,0,41679,8225,0,75,,61.0,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
SFO,85.71,100.0,7,1,0,1464,273,0,2,,,,,,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
SGN,83.81,99.15,352,57,3,35413,7281,460,129,,39.0,1.0,,,43,1.0,,,,,,2.0,,,,,3.0,2.0,,,,,1.0,,,1.0,,,,,12.0,,2.0,22.0,,,,,,,
SIN,69.86,98.08,365,110,7,78832,24475,1860,177,,62.0,5.0,,,82,,,,,,1.0,4.0,,,,1.0,4.0,1.0,,,,2.0,1.0,1.0,,1.0,1.0,,1.0,,2.0,1.0,,,2.0,,,4.0,,1.0,
