Period,OTP,Ctl OTP,TTL FLT,DLY FLT,Ctl DLY FLT,TTL PAX,DLY PAX,Ctl DLY PAX,DLY Cnt,AE,AF,AG,AM,AS,AT,AX,AZ,CD,CI,DF,DG,EZ,FF,FL,FR,FT,FZ,GB,GD,GF,GT,GZ,MX,PB,PD,PH,PL,PS,PW,PZ,RA,RL,RZ,SG,TC,TD,TN,TZ,WG,WO,WZ
00H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06H,75.15,99.41,169.0,42.0,1.0,23405.0,6342.0,106.0,76.0,,10.0,,,1.0,29.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,33.0,,,,,,,,1.0,
07H,70.95,98.17,327.0,95.0,6.0,42766.0,14870.0,1162.0,157.0,,91.0,,,,54.0,,,,,,,,,,,,,2.0,,,,,1.0,2.0,,,,1.0,,1.0,,2.0,,,,1.0,1.0,1.0,,,
08H,80.16,98.58,1547.0,307.0,22.0,314039.0,66710.0,5161.0,513.0,,257.0,10.0,,,185.0,,,,,,2.0,4.0,,,,,9.0,5.0,,4.0,,3.0,1.0,2.0,,2.0,2.0,2.0,2.0,,3.0,2.0,,,3.0,3.0,3.0,6.0,,3.0,
09H,83.37,99.47,950.0,158.0,5.0,166234.0,28932.0,1132.0,246.0,1.0,138.0,6.0,3.0,,77.0,1.0,1.0,,,,,1.0,,,,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,,2.0,3.0,,,2.0,1.0,
10H,77.92,99.18,1825.0,403.0,15.0,321292.0,74984.0,3022.0,620.0,,360.0,4.0,10.0,,199.0,2.0,,,,,,4.0,,,1.0,,1.0,4.0,,7.0,,,4.0,1.0,1.0,2.0,,,,1.0,,2.0,,,,3.0,2.0,3.0,8.0,,1.0
11H,83.55,99.65,863.0,142.0,3.0,134850.0,21888.0,478.0,191.0,,138.0,,1.0,,42.0,,,1.0,,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,1.0,1.0,,,,,1.0,,2.0,,,
12H,98.06,100.0,155.0,3.0,0.0,24315.0,454.0,0.0,5.0,,2.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13H,100.0,100.0,20.0,0.0,0.0,1649.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14H,89.42,99.04,520.0,55.0,5.0,79765.0,9504.0,1076.0,112.0,,19.0,1.0,,,38.0,,,,,1.0,,,1.0,1.0,,,8.0,3.0,,1.0,,,1.0,,,,,,,1.0,25.0,1.0,2.0,5.0,,,1.0,3.0,,,
15H,88.59,99.33,596.0,68.0,4.0,70176.0,9331.0,642.0,144.0,,24.0,,,,50.0,,,,,,,2.0,,,,,3.0,2.0,,,,,1.0,,,1.0,,,1.0,,32.0,1.0,3.0,24.0,,,,,,,
16H,80.95,95.24,21.0,4.0,1.0,3012.0,581.0,38.0,13.0,,,,,,4.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,4.0,,,3.0,,,,,,,
17H,88.58,99.53,429.0,49.0,2.0,56203.0,8513.0,422.0,90.0,,4.0,,,,30.0,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,37.0,1.0,,12.0,,,1.0,1.0,1.0,,
18H,65.71,98.57,70.0,24.0,1.0,9809.0,4434.0,63.0,58.0,,,,,,19.0,,,,,,,,,,,,5.0,1.0,,,,,3.0,,,,,,,,23.0,,1.0,3.0,,,1.0,1.0,,,1.0
19H,0.0,100.0,1.0,1.0,0.0,89.0,89.0,0.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,
20H,100.0,100.0,6.0,0.0,0.0,187.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23H,74.39,94.72,246.0,63.0,13.0,57386.0,15538.0,3428.0,134.0,,31.0,1.0,,14.0,54.0,,3.0,,1.0,,,,,,1.0,,3.0,1.0,1.0,6.0,,,1.0,,,4.0,,2.0,,,,11.0,,,,,,,,,
