Period,OTP,Ctl OTP,TTL FLT,DLY FLT,Ctl DLY FLT,TTL PAX,DLY PAX,Ctl DLY PAX,DLY Cnt,AE,AF,AG,AM,AS,AT,AX,AZ,CD,CI,DF,DG,EZ,FF,FL,FR,FT,FZ,GB,GD,GF,GT,GZ,MX,PB,PD,PH,PL,PS,PW,PZ,RA,RL,RZ,SG,TC,TD,TN,TZ,WG,WO,WZ
2023-01,79.45,98.81,506,104,6,82559,19939,1061,207,,78,17.0,,,82,3.0,1.0,1.0,,,,,,,,,3.0,3.0,,2.0,,,3.0,,,,,,,,10,1.0,,,1.0,,1.0,1.0,,,
2023-02,76.33,98.62,507,120,7,82174,22070,1382,213,,90,,,,72,,,,,,,,,1.0,,,16.0,,,2.0,,,1.0,,,1.0,2.0,1.0,1.0,,17,2.0,1.0,,1.0,,3.0,2.0,,,
2023-03,78.03,98.77,569,125,7,91296,22564,1682,226,,96,,,,80,,,,,,1.0,1.0,,,1.0,,3.0,3.0,,1.0,,,3.0,2.0,,,,,,1.0,18,1.0,,6.0,2.0,,1.0,5.0,,,1.0
2023-04,72.63,99.82,570,156,1,89737,26787,240,220,,141,,,,59,,,,,,,,,,,,,,,1.0,,,,,,,,,,,16,,,1.0,,,,2.0,,,
2023-05,78.87,98.7,691,146,9,103136,25845,1751,225,1.0,121,1.0,,,70,,1.0,,,,,2.0,1.0,,,,,1.0,,4.0,,2.0,,,,2.0,,1.0,,,9,1.0,,,,,1.0,2.0,5.0,,
2023-06,78.49,97.92,674,145,14,121813,28238,3260,251,,115,3.0,,,75,,2.0,,,,,,,,,,3.0,4.0,1.0,5.0,,,,1.0,,2.0,,,1.0,,16,,,20.0,,1.0,1.0,,,,1.0
2023-07,80.25,98.03,709,140,14,121863,26253,2922,240,,94,,14.0,4.0,75,,,,1.0,,,1.0,,,1.0,,6.0,6.0,,5.0,,,,,,2.0,,1.0,1.0,,9,4.0,,14.0,,,,2.0,,,
2023-08,88.92,99.58,722,80,3,125786,15631,723,136,,52,,,5.0,50,,,,,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,8,2.0,1.0,5.0,,,,1.0,6.0,,
2023-09,89.74,99.56,682,70,3,111275,12914,556,116,,56,,,3.0,45,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,2.0,1,2.0,1.0,1.0,,1.0,,,,,
2023-10,88.45,99.29,701,81,5,118928,15225,1118,134,,52,,,2.0,51,,,,,1.0,1.0,3.0,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,1.0,,4,5.0,,1.0,1.0,,1.0,1.0,,5.0,
2023-11,81.54,99.39,661,122,4,121397,24171,888,180,,87,1.0,,1.0,50,,1.0,,,,,,,,,,,1.0,,,,1.0,5.0,,,,,2.0,,,5,19.0,,,,5.0,1.0,1.0,,,
2023-12,83.4,99.34,753,125,5,135213,22533,1147,214,,92,,,,75,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,1.0,3.0,,1.0,,,,1.0,14,16.0,3.0,,,4.0,,,,,
